Municipality,Annual Electric Usage (MWh),Annual Electric Savings (MWh),Annual Electric Incentives ($),Annual Gas Usage (Therms),Annual Gas Savings (Therms),Annual Gas Incentives ($)
Abington,49255.476,32.781,1355534.673,2252323.131,22462.105,375365.485
Acton,70739.864,-288.977,1550964.28,4141415.474,86607.323,1285071.852
Acushnet,31818.743,8.604,636915.339,1356346.364,Suppressed,Suppressed
Adams,21973.421,63.519,513696.287,1862877.739,11362.917,184669.72
Agawam,100510.561,646.453,1855414.179,5039763.555,55925.655,855291.734
Alford,3683.27,Suppressed,Suppressed,No Gas,No Gas,No Gas
Amesbury,46736.954,375.045,916198.87,3202736.449,42111.381,715983.466
Amherst,71029.368,-114.68,2111046.139,1345928.292,8975.656,123003.66
Andover,110402.784,914.908,3123180.092,8057773.49,140470.67,1776084.991
Aquinnah,3846.486,Suppressed,Suppressed,No Gas,No Gas,No Gas
Arlington,112696.154,501.843,3240653.866,9609931.026,328019.948,4628321.824
Ashburnham,Municipal,Municipal,Municipal,No Gas,No Gas,No Gas
Ashby,9282.955,40.568,195723.24,110697.057,Suppressed,Suppressed
Ashfield,7051.456,13.73,236200.45,No Gas,No Gas,No Gas
Ashland,55235.099,-126.677,833828.419,3970237.663,70993.268,931330.201
Athol,36472.635,347.955,3570267.661,No Gas,No Gas,No Gas
Attleboro,128481.781,52.785,2973619.608,5127891.796,46472.59,859168.37
Auburn,52730.166,-191.555,1899848.949,751467.969,Suppressed,Suppressed
Avon,13281.459,20.814,184812.24,699878.723,Suppressed,Suppressed
Ayer,23476.15,76.647,592707.623,1166810.137,56663.101,617608.545
Barnstable,199629.245,603.615,4787299.82,16439433.63,300497.388,4521835.754
Barre,16006.523,54.809,554195.929,No Gas,No Gas,No Gas
Becket,11762.107,51.005,391062.11,No Gas,No Gas,No Gas
Bedford,43943.159,35.449,542029.01,3482534.201,56117.534,800642.657
Belchertown,47199.894,-17.806,2066653.099,No Gas,No Gas,No Gas
Bellingham,50179.219,150.665,1064117.73,1724730.201,22952.143,329238.623
Belmont,Municipal,Municipal,Municipal,6985073.133,137155.425,1696371.324
Berkley,Municipal,Municipal,Municipal,Suppressed,Suppressed,Suppressed
Berlin,12400.75,354.389,512884.755,179650.529,Suppressed,Suppressed
Bernardston,8735.363,-58.482,394001.359,No Gas,No Gas,No Gas
Beverly,104434.646,-18.144,2418068.731,6418039.663,120721.073,1726304.977
Billerica,116327.481,288.307,1318248.249,8491178.686,88917.629,1485773.196
Blackstone,24944.85,-28.013,519118.535,840903.885,Suppressed,Suppressed
Blandford,5234.508,Suppressed,Suppressed,No Gas,No Gas,No Gas
Bolton,20962.228,-163.941,572693.276,Suppressed,Suppressed,Suppressed
Boston,1359322.781,8377.25,12739404.13,98396382.83,1705807.401,26249384.78
Bourne,68584.624,70.357,2922553.96,5016774.252,90378.004,1279659.382
Boxborough,Municipal,Municipal,Municipal,499669.039,Suppressed,Suppressed
Boxford,33754.435,-30.202,392020.453,1924602.862,22507.379,320278.573
Boylston,Municipal,Municipal,Municipal,188186.955,Suppressed,Suppressed
Braintree,Municipal,Municipal,Municipal,5734431.243,72897.955,1036979.553
Brewster,52888.136,229.95,2547046.26,2200056.977,45339.509,675578.671
Bridgewater,71469.031,1.198,985629.861,2732852.397,17254.48,230752.029
Brimfield,13611.249,-20.105,561028.941,No Gas,No Gas,No Gas
Brockton,203824.527,484.264,4690222.393,15692534.46,105250.59,2373868.128
Brookfield,11358.012,131.927,463961.017,122082.6,Suppressed,Suppressed
Brookline,121111.967,404.839,639989.797,10271448.15,158983.146,1872926.734
Buckland,5880.456,-65.103,550873.18,No Gas,No Gas,No Gas
Burlington,74039.45,-147.313,1040505.29,3899728.261,52164.907,706883.986
Cambridge,235738.82,955.708,1092471.921,16301320.4,398159.652,4983125.63
Canton,71996.798,8.795,818303.34,5132867.874,73312.82,1055746.183
Carlisle,24741.634,-142.095,531953.19,1063965.591,Suppressed,Suppressed
Carver,42139.798,-22.375,718197.959,953466.076,Suppressed,Suppressed
Charlemont,4960.933,Suppressed,Suppressed,No Gas,No Gas,No Gas
Charlton,46405.395,55.09,1706265.153,No Gas,No Gas,No Gas
Chatham,49992.544,123.858,874713.24,4076815.306,75462.499,1123577.063
Chelmsford,99372.773,264.168,721231.896,9481234.52,138133.714,2397306.382
Chelsea,68032.693,300.734,426786.111,5654868.749,51525.691,888785.978
Cheshire,9980.181,81.58,203460.103,408042.381,Suppressed,Suppressed
Chester,Municipal,Municipal,Municipal,No Gas,No Gas,No Gas
Chesterfield,4348.485,Suppressed,Suppressed,No Gas,No Gas,No Gas
Chicopee,Municipal,Municipal,Municipal,7234781.176,64899.43,1151774.367
Chilmark,15656.785,Suppressed,Suppressed,No Gas,No Gas,No Gas
Clarksburg,4755.197,Suppressed,Suppressed,107234.029,Suppressed,Suppressed
Clinton,40626.091,78.59,598925.261,1898201.835,27050.144,414784.683
Cohasset,34369.78,-8.3,406117.75,2380534.999,24409.71,308297.834
Colrain,6384.755,Suppressed,Suppressed,No Gas,No Gas,No Gas
Concord,Municipal,Municipal,Municipal,4356823.344,81679.569,1048245.552
Conway,6088.271,-26.28,259289.43,No Gas,No Gas,No Gas
Cummington,3336.221,Suppressed,Suppressed,No Gas,No Gas,No Gas
Dalton,19929.896,88.809,380443.79,1505501.458,Suppressed,Suppressed
Danvers,Municipal,Municipal,Municipal,3677095.012,59561.635,779547.894
Dartmouth,97774.562,-124.793,2003829.289,5154719.148,75306.856,1288249.714
Dedham,69110.139,68.563,526904.39,6359758.278,112861.403,1394307.66
Deerfield,18264.261,-79.695,757110.109,394827.743,Suppressed,Suppressed
Dennis,78700.655,317.068,2363248.24,6142929.078,149963.256,2409390.458
Dighton,Municipal,Municipal,Municipal,483516.754,Suppressed,Suppressed
Douglas,31032.712,-172.839,1225076.213,No Gas,No Gas,No Gas
Dover,32956.094,-292.144,594505.961,128354.815,Suppressed,Suppressed
Dracut,88459.505,130.079,754424.974,6828512.931,73880.278,1177130.569
Dudley,35039.299,356.698,1483600.93,518525.685,Suppressed,Suppressed
Dunstable,12048.065,-21.6,248630.461,348853.341,Suppressed,Suppressed
